code,name,ects,link,professor,description
CS-470,Advanced computer architecture,8,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/advanced-computer-architecture-CS-470,Ienne Paolo,"The course studies techniques to exploit Instruction-Level Parallelism (ILP) statically and dynamically. It also addresses some aspects of the design of domain-specific accelerators. Finally, it explores security challenges based on microarchitectural features and hardware isolation techniques."
CS-440,Advanced computer graphics,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/advanced-computer-graphics-CS-440,,"This course covers advanced 3D graphics techniques for realistic image synthesis. Students will learn how light interacts with objects in our world, and how to recreate these phenomena in a computer simulation to create synthetic images that are indistinguishable from photographs."
COM-501,Advanced cryptography,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/advanced-cryptography-COM-501,Vaudenay Serge,"This course reviews some failure cases in public-key cryptography. It introduces some cryptanalysis techniques. It also presents fundamentals in cryptography such as interactive proofs. Finally, it presents some techniques to validate the security of cryptographic primitives."
CS-471,Advanced multiprocessor architecture,8,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/advanced-multiprocessor-architecture-CS-471,Falsafi Babak,"Multiprocessors are basic building blocks for all computer systems. This course covers the architecture and organization of modern multiprocessors, prevalent accelerators (e.g., GPU, TPU), and datacenters. It includes a research project on multiprocessors and post-Moore era datacenters."
CS-477,Advanced operating systems,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/advanced-operating-systems-CS-477,Kashyap Sanidhya,"This course teaches advanced OS system design. Using an extensive hands-on approach, the course focuses on traditional and new concepts proposed in the past two decades in the area of operating systems."
CS-523,Advanced topics on privacy enhancing technologies,8,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/advanced-topics-on-privacy-enhancing-technologies-CS-523,González Troncoso Carmela,"This advanced course will provide students with the knowledge to tackle the design of privacy-preserving ICT systems. Students will learn about existing technologies to prect privacy, and how to evaluate the protection they provide."
CS-500,AI product management,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/ai-product-management-CS-500,"Kaboli Amin, Roshan Zamir Amir",The course focuses on the development of real-word AI/ML products. It is intended for students who have acquired a theoretical background in AI/ML and are interested in applying that toward developing AI/ML-oriented products.
EE-512,Applied biomedical signal processing,4,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/applied-biomedical-signal-processing-EE-512,Lemay Mathieu,"The goal of this course is twofold: (1) to introduce physiological basis, signal acquisition solutions (sensors) and state-of-the-art signal processing techniques, and (2) to propose concrete examples of applications for vital sign monitoring and diagnosis purposes."
MATH-493,Applied biostatistics,5,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/applied-biostatistics-MATH-493,Goldstein Darlene,"This course covers topics in applied biostatistics, with an emphasis on practical aspects of data analysis using R statistical software. Topics include types of studies and their design and analysis, high dimensional data analysis (genetic/genomic) and other topics as time and interest permit."
CS-401,Applied data analysis,8,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/applied-data-analysis-CS-401,Brbic Maria,"This course teaches the basic techniques, methodologies, and practical skills required to draw meaningful insights from a variety of data, with the help of the most acclaimed software tools in the data science world (pandas, scikit-learn, Spark, etc.)"
EE-554,Automatic speech processing,4,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/automatic-speech-processing-EE-554,Magimai Doss Mathew,"The goal of this course is to provide the students with the main formalisms, models and algorithms required for the implementation of advanced speech processing applications (involving, among others, speech coding, speech analysis/synthesis, and speech recognition, speaker recognition)."
MICRO-452,Basics of mobile robotics,4,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/basics-of-mobile-robotics-MICRO-452,Mondada Francesco,"The course teaches the basics of autonomous mobile robots. Both hardware (energy, locomotion, sensors) and software (signal processing, control, localization, trajectory planning, high-level control) will be tackled. The students will apply the knowledge to program and control a real mobile robot."
BIO-410,Bioimage informatics,4,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/bioimage-informatics-BIO-410,"Sage Daniel, Seitz Arne","The course provides a comprehensive overview of methods, algorithms, and computer tools used in bioimage analysis. It exposes fundamental concepts and practical computer solutions to extract quantitative information from multidimensional images, both using engineering methods and deep learning."
MGT-416,Causal inference,4,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/causal-inference-MGT-416,Kiyavash Negar,"Students will learn the core concepts and techniques of network analysis with emphasis on causal inference. Theory and application will be balanced, with students working directly with network data throughout the course."
MATH-352,Causal thinking,5,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/causal-thinking-MATH-352,Stensrud Mats Julius,"This course will give a unified presentation of modern methods for causal inference. We focus on concepts, and we will present examples and ideas from various scientific disciplines, including medicine, computer science, engineering, economics and epidemiology."
BIO-105,Cellular biology and biochemistry for engineers,4,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/cellular-biology-and-biochemistry-for-engineers-BIO-105,Zufferey Romain,Basic course in biochemistry as well as cellular and molecular biology for non-life science students enrolling at the Master or PhD thesis level from various engineering disciplines. It reviews essential notions necessary for a training in biology-related engineering fields.
CS-524,Computational complexity,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/computational-complexity-CS-524,Göös Mika Tapani,"In computational complexity we study the computational resources needed to solve problems and understand the relation between different types of computation. This course advances the students knowledge of computational complexity, and develop an understanding of fundamental open questions."
NX-465,Computational neurosciences: neuronal dynamics,5,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/computational-neurosciences-neuronal-dynamics-NX-465,Gerstner Wulfram,In this course we study mathematical models of neurons and neuronal networks in the context of biology and establish links to models of cognition. The focus is on brain dynamics approximated by deterministic or stochastic differential equations.
CS-413,Computational photography,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/computational-photography-CS-413,Süsstrunk Sabine,"The students will gain the theoretical knowledge in computational photography, which allows recording and processing a richer visual experience than traditional digital imaging. They will also execute practical group projects to develop their own computational photography application."
COM-418,Computers and music,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/computers-and-music-COM-418,,"In this class we will explore some of the fundamental ways in which the pervasiveness of digital devices has completely revolutionized the world of music in the last 40 years, both from the point of view of production and recording, and from the point of view of listening and distribution."
CS-442,Computer vision,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/computer-vision-CS-442,Fua Pascal,"Computer Vision aims at modeling the world from digital images acquired using video or infrared cameras, and other imaging sensors. We will focus on images acquired using digital cameras. We will introduce basic processing techniques and discuss their field of applicability."
CS-453,Concurrent computing,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/concurrent-computing-CS-453,Guerraoui Rachid,"With the advent of modern architectures, it becomes crucial to master the underlying algorithmics of concurrency. The objective of this course is to study the foundations of concurrent algorithms and in particular the techniques that enable the construction of robust such algorithms."
COM-480,Data visualization,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/data-visualization-COM-480,Vuillon Laurent Gilles Marie,"Understanding why and how to present complex data interactively in an effective manner has become a crucial skill for any data scientist. In this course, you will learn how to design, judge, build and present your own interactive data visualizations."
CS-438,Decentralized systems engineering,8,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/decentralized-systems-engineering-CS-438,"Borsò Pierluca, Ford Bryan Alexander","A decentralized system is one that works when no single party is in charge or fully trusted. This course teaches decentralized systems principles while guiding students through the engineering of their own decentralized system featuring messaging, file sharing, encryption, and blockchain concepts."
EE-559,Deep learning,4,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/deep-learning-EE-559,Cavallaro Andrea,"This course explores how to design reliable discriminative and generative neural networks, the ethics of data acquisition and model deployment, as well as modern multi-modal models."
CS-502,Deep learning in biomedicine,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/deep-learning-in-biomedicine-CS-502,,"Deep learning offers potential to transform biomedical research. In this course, we will cover recent deep learning methods and learn how to apply these methods to problems in biomedical domain."
CS-456,Deep reinforcement learning,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/deep-reinforcement-learning-CS-456,Gulcehre Caglar,"This course provides an overview and introduces modern methods for reinforcement learning (RL.) The course starts with the fundamentals of RL, such as Q-learning, and delves into commonly used approaches, like PPO and DQN. The course will introduce students to practical applications of RL."
CS-472,Design technologies for integrated systems,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/design-technologies-for-integrated-systems-CS-472,De Micheli Giovanni,"Hardware compilation is the process of transforming specialized hardware description languages into circuit descriptions, which are iteratively refined, detailed and optimized. The course presents algorithms, tools and methods for hardware compilation and logic synthesis."
CS-411,Digital education,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/digital-education-CS-411,"Dillenbourg Pierre, Jermann Patrick",This course addresses the relationship between specific technological features and the learners' cognitive processes. It also covers the methods and results of empirical studies: do student actually learn due to technologies? I will be given twice in 2025 (Spring + Fall)
CS-423,Distributed information systems,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/distributed-information-systems-CS-423,Aberer Karl,"This course introduces the foundations of information retrieval, data mining and knowledge bases, which constitute the foundations of today's Web-based distributed information systems."
ENG-466,Distributed intelligent systems,5,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/distributed-intelligent-systems-ENG-466,Martinoli Alcherio,The goal of this course is to provide methods and tools for modeling distributed intelligent systems as well as designing and optimizing coordination strategies. The course is a well-balanced mixture of theory and practical activities.
COM-502,Dynamical system theory for engineers,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/dynamical-system-theory-for-engineers-COM-502,Thiran Patrick,"Linear and nonlinear dynamical systems are found in all fields of science and engineering. After a short review of linear system theory, the class will explain and develop the main tools for the qualitative analysis of nonlinear systems, both in discrete-time and continuous-time."
CS-476,Embedded system design,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/embedded-system-design-CS-476,Kluter Ties Jan Henderikus,Hardware-software co-design is a well known concept in embedded system design.It is also a concept required in designing FPGA-accelerators in data-centers.This course teaches how to transform algorithms in smart hardware-software solutions.
DH-415,Ethics and law of AI,4,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/ethics-and-law-of-ai-DH-415,Rochel Johan Robert,This master course enables students to sharpen their proficiency in tackling ethical and legal challenges linked to Artificial Intelligence (AI). Students acquire the competence to define AI and identify ethical and legal questions linked to its conception and increased use in society.
CS-489,Experience design,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/experience-design-CS-489,,"As we move towards a design economy, the success of new products, systems and services depend increasingly on the excellence of personal experience. This course introduces students to the notion and practice of experience design following a hands-on, studio-based approach."
CS-550,Formal verification,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/formal-verification-CS-550,Kuncak Viktor,We introduce formal verification as an approach for developing highly reliable systems. Formal verification finds proofs that computer systems work under all relevant scenarios. We will learn how to use formal verification tools and explain the theory and the practice behind them.
CS-459,Foundations of probabilistic proofs,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/foundations-of-probabilistic-proofs-CS-459,Chiesa Alessandro,"Probabilistic proof systems (eg PCPs and IPs) have had a tremendous impact on theoretical computer science, as well as on real-world secure systems. They underlie delegation of computation protocols and hardness of approximation. This course covers the foundations of probabilistic proof systems."
CS-457,Geometric computing,6,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/geometric-computing-CS-457,Pauly Mark,This course will cover mathematical concepts and efficient numerical methods for geometric computing. We will explore the beauty of geometry and develop algorithms to simulate and optimize 2D and 3D geometric models with an emphasis towards computational design for digital fabrication.
MATH-483,Gödel and recursivity,5,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/godel-and-recursivity-MATH-483,Duparc Jacques,Gödel incompleteness theorems and mathematical foundations of computer science
MICRO-511,Image processing I,3,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/image-processing-i-MICRO-511,"Unser Michaël, Van De Ville Dimitri Nestor Alice",Introduction to the basic techniques of image processing. Introduction to the development of image-processing software and to prototyping using Jupyter notebooks. Application to real-world examples in industrial vision and biomedical imaging.
