code,name,ects,link,professor,description
MATH-333,Selected chapters of geometry,5,https://edu.epfl.ch/studyplan/en/bachelor/mathematics/coursebook/selected-chapters-of-geometry-MATH-333,,"Après avoir traité la théorie de base des courbes et surfaces dans le plan et l'espace euclidien, nous étudierons certains chapitres choisis : surfaces minimales, surfaces à courbure moyenne constante, caustiques, géométrie hyperbolique."
MATH-342,Time series,5,https://edu.epfl.ch/studyplan/en/bachelor/mathematics/coursebook/time-series-MATH-342,Olhede Sofia Charlotta,A first course in statistical time series analysis and applications.
MATH-327,Topics in complex analysis,5,https://edu.epfl.ch/studyplan/en/bachelor/mathematics/coursebook/topics-in-complex-analysis-MATH-327,Braun Mathias Viktor Joachim,The goal of this course is to treat selected topics in complex analysis. We will mostly focus on holomorphic functions in one variable. At the end we will also discuss holomorphic functions in several variables
MATH-338,Topological groups,5,https://edu.epfl.ch/studyplan/en/bachelor/mathematics/coursebook/topological-groups-MATH-338,Monod Nicolas,We study topological groups. Particular attention is devoted to compact and locally compact groups.
MATH-323,Topology III - Homology,5,https://edu.epfl.ch/studyplan/en/bachelor/mathematics/coursebook/topology-iii-homology-MATH-323,Monin Leonid,"Homology is one of the most important tools to study topological spaces and it plays an important role in many fields of mathematics. The aim of this course is to introduce this notion, understand its properties and learn how to compute it. There will be many examples and applications."
MATH-397,Mathematics project (bachelor),12,https://edu.epfl.ch/studyplan/en/bachelor/mathematics/coursebook/mathematics-project-bachelor-MATH-397,Profs divers *,L'étudiant applique les compétences acquises dans un projet de recherche théorique ou appliqué.
MATH-202(c),Analysis III,5,https://edu.epfl.ch/studyplan/en/bachelor/mechanical-engineering/coursebook/analysis-iii-MATH-202-C,Antolin Sanchez Pablo,The course studies the fundamental concepts of vector analysis and Fourier-Laplace analysis with a view to their use in solving multidisciplinary problems in scientific engineering.
MATH-207(c),"Analysis IV (for EL, GM, MX)",4,https://edu.epfl.ch/studyplan/en/bachelor/mechanical-engineering/coursebook/analysis-iv-for-el-gm-mx-MATH-207-C,Moschidis Georgios,"This course serves as an introduction to the theory of complex analysis, Fourier series and Fourier transforms, the Laplace transform, with applications to the theory of ordinary and partial differential equations. These tools play an integral role in most branches of science and engineering."
PHYS-201(b),General physics: electromagnetism,6,https://edu.epfl.ch/studyplan/en/bachelor/mechanical-engineering/coursebook/general-physics-electromagnetism-PHYS-201-B,Ramirez-San-Juan Guillermina Rochelle,"The course covers the phenomena, concepts and principles of electricity and magnetism illustrating some of their applications. The unity of the electric, magnetic and optical phenomena and the variety of their applications are emphasized."
ME-232,Mechanics of structures (For GM),4,https://edu.epfl.ch/studyplan/en/bachelor/mechanical-engineering/coursebook/mechanics-of-structures-for-gm-ME-232,Prenleloup Alain Michel,"L'étudiant acquiert les bases de l'analyse des contraintes et déformation des poutres élastiques linéaires soumises à la traction, cisaillement, torsion, flexion; les coefficients d'influence et la méthode de l'énergie pour analyser des systèmes isostatiques et hyperstatiques; critères de rupture."
MATH-251(e),Numerical analysis,4,https://edu.epfl.ch/studyplan/en/bachelor/mechanical-engineering/coursebook/numerical-analysis-MATH-251-E,Caboussat Alexandre,"Le cours présente des méthodes numériques pour la résolution de problèmes mathématiques comme des systèmes d'équations linéaires ou non linéaires, l'approximation de fonctions, l'intégration et la dérivation, et la résolution d'équations différentielles ou aux dérivées partielles."
MATH-234(d),Probability and statistics,3,https://edu.epfl.ch/studyplan/en/bachelor/mechanical-engineering/coursebook/probability-and-statistics-MATH-234-D,Goldstein Darlene,"Ce cours enseigne les notions élémentaires de la théorie de probabilité et de la statistique, tels que l'inférence, les tests et la régression."
ME-203,Sustainable products and supply chains,3,https://edu.epfl.ch/studyplan/en/bachelor/mechanical-engineering/coursebook/sustainable-products-and-supply-chains-ME-203,"Kaboli Amin, Wakeman Martyn Douglas",The course is designed to provide a foundational understanding of sustainability principles and equip students with practical skills and tools to develop sustainable products and optimize supply chains.
ME-251,Thermodynamics and energetics I,4,https://edu.epfl.ch/studyplan/en/bachelor/mechanical-engineering/coursebook/thermodynamics-and-energetics-i-ME-251,Lu Zhengmao,"The course introduces the basic concepts of thermodynamics and heat transfer, and thermodynamic properties of matter and their calculation. The students will master the concepts of heat, mass, and momentum conservation, and apply these concepts to thermodynamic cylces and energy conversion systems."
ME-221,Dynamical systems,3,https://edu.epfl.ch/studyplan/en/bachelor/mechanical-engineering/coursebook/dynamical-systems-ME-221,Sakar Mahmut Selman,Provides the students with basic notions and tools for the analysis of dynamic systems. Shows them how to develop mathematical models of dynamic systems and perform analysis in time and frequency domains.
ME-280,Fluid mechanics (for GM),4,https://edu.epfl.ch/studyplan/en/bachelor/mechanical-engineering/coursebook/fluid-mechanics-for-gm-ME-280,Schneider Tobias,Basic lecture in fluid mechanics
ME-212,Industrial production processes,4,https://edu.epfl.ch/studyplan/en/bachelor/mechanical-engineering/coursebook/industrial-production-processes-ME-212,Boillat Eric,Application des principales catégories de procédés de production. Modèles physiques élémentaires décrivant le comportement des principaux procédés de production. Compréhension de base des aspects économiques des procédés de production. Méthodologie de sélection des procédés à un niveau agrégé.
MSE-234,Mechanical behaviour of materials,4,https://edu.epfl.ch/studyplan/en/bachelor/mechanical-engineering/coursebook/mechanical-behaviour-of-materials-MSE-234,"Gheysen Julie Nathalie S, Hernandez Escobar David, Mortensen Andreas","Ce cours est une introduction au comportement mécanique, à l'élaboration, à la structure et au cycle de vie des grandes classes de matériaux de structure (métaux, polymères, céramiques et composites)"
ME-202,Mechanical systems,4,https://edu.epfl.ch/studyplan/en/bachelor/mechanical-engineering/coursebook/mechanical-systems-ME-202,Soubielle Sébastien Philippe,"Ce cours vise à approfondir la compréhension des lois de fonctionnement de plusieurs principes mécaniques majeurs et largement utilisés en construction de machines, en vue d'être capable d'en faire le dimensionnement dans les cas concrets les plus courants."
ME-213,Programmation pour ingénieur,4,https://edu.epfl.ch/studyplan/en/bachelor/mechanical-engineering/coursebook/programmation-pour-ingenieur-ME-213,Salzmann Christophe,Mettre en pratique les bases de la programmation vues au semestre précédent. Développer un logiciel structuré. Méthode de debug d'un logiciel. Introduction à la programmation scientifique. Introduction à l'instrumentation virtuelle.
ME-321,Control systems + TP,4,https://edu.epfl.ch/studyplan/en/bachelor/mechanical-engineering/coursebook/control-systems-tp-ME-321,"Jones Colin Neil, Salzmann Christophe",Provides the students with basic notions and tools for the analysis and control of dynamic systems. Shows them how to design controllers and analyze the performance of controlled systems.
ME-311,Dynamical effects in mechanical design,3,https://edu.epfl.ch/studyplan/en/bachelor/mechanical-engineering/coursebook/dynamical-effects-in-mechanical-design-ME-311,Schiffmann Jürg Alexander,Ce cours poursuit la compréhension des effets cinématiques et dynamiques de systèmes mécaniques complexes et introduit les bases pour les comprendre et les modéliser. L'étudiant saura expliquer et modéliser la dynamique et choisir des modèles adéquats.
EE-382,Electrical machines (for ME),3,https://edu.epfl.ch/studyplan/en/bachelor/mechanical-engineering/coursebook/electrical-machines-for-me-EE-382,Hodder André,"L'objectif de ce cours est d'acquérir les connaissances de base liées aux machines électriques (conversion électromécanique). Le cours porte sur le circuit magnétique, le transformateur, les machines synchrones, asynchrones, à courant continu et les moteurs pas à pas."
