course_code,course_link,course_name,overall,prof_rating,difficulty,workload,professors,tip
BIO-447,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/stem-cells-and-organoids-BIO-447,Stem cells and organoids,2.5 (4),2.8,3,2.5 (3),"['Radtke', 'Suter']","Show up at the lecture and try to write what the teachers are saying, a lot of details are missing in the slide. For the exam you have to learn everything by heart and you can be asked questions about minuscule detail on a random slide."
BIO-449,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/understanding-statistics-and-experimental-design-BIO-449,Understanding statistics and experimental design,3.5 (2),3.5,1.5,1.5 (4),['Herzog'],"Keep up a bit with the material, and learn the formulas by hard (for the exam)"
BIO-449,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/understanding-statistics-and-experimental-design-BIO-449,Understanding statistics and experimental design,3.5 (2),3.5,1.5,1.5 (4),['Herzog'],The lectures are not useless because the teacher is interesting. Yet everything can be learned through the book and slides.
BIO-449,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/understanding-statistics-and-experimental-design-BIO-449,Understanding statistics and experimental design,3.5 (2),3.5,1.5,1.5 (4),['Herzog'],The lectures are not useless because the teacher is interesting. Yet everything can be learned through the book and slides.
BIO-463,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/genomics-and-bioinformatics-BIO-463,Genomics and bioinformatics,2 (2),2.5,1.5,2.5 (4),['Rougemont'],The class is really easy to pass. The quizzes are super easy and so is the project
BIO-463,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/genomics-and-bioinformatics-BIO-463,Genomics and bioinformatics,2 (2),2.5,1.5,2.5 (4),['Rougemont'],"The graded labs have the same issue as the ungraded ones. There are super unbalanced. They all weight the same grade but the workload and difficulty is super inconsistent. For the individual project, you have to reproduce the paper results. To be honest, I mostly only used my ADA knowledge and nothing from this course"
BIO-463,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/genomics-and-bioinformatics-BIO-463,Genomics and bioinformatics,2 (2),2.5,1.5,2.5 (4),['Rougemont'],"The graded labs have the same issue as the ungraded ones. There are super unbalanced. They all weight the same grade but the workload and difficulty is super inconsistent. For the individual project, you have to reproduce the paper results. To be honest, I mostly only used my ADA knowledge and nothing from this course"
BIO-467,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/scientific-literature-analysis-in-bioengineering-BIO-467,Scientific literature analysis in bioengineering,4 (1),4,2,3 (4),"['Cao', 'Merten', 'Tang']","As long as you put an effort into your presentations, you are fine."
BIO-467,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/scientific-literature-analysis-in-bioengineering-BIO-467,Scientific literature analysis in bioengineering,4 (1),4,2,3 (4),"['Cao', 'Merten', 'Tang']","As long as you put an effort into your presentations, you are fine."
BIO-468,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/scientific-literature-analysis-in-computational-molecular-biology-BIO-468,Scientific literature analysis in computational molecular biology,3 (1),3,4,5 (4),"['Barth', 'Dal Peraro']","It is compulsory to go to classes. Every week 2 people have to do a presentation on a given paper, and the others have to write a report. During the lessons, after the presentation, students have to discuss about the paper."
BIO-468,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/scientific-literature-analysis-in-computational-molecular-biology-BIO-468,Scientific literature analysis in computational molecular biology,3 (1),3,4,5 (4),"['Barth', 'Dal Peraro']","It is compulsory to go to classes. Every week 2 people have to do a presentation on a given paper, and the others have to write a report. During the lessons, after the presentation, students have to discuss about the paper."
BIO-471,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/cancer-biology-i-BIO-471,Cancer biology I,4 (1),4,3,3 (5),"['Lingner', 'Oricchio']",Go to exercise sessions and prepare the papers before the session. Do not study all last minute because there is a lot of content.
BIO-471,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/cancer-biology-i-BIO-471,Cancer biology I,4 (1),4,3,3 (5),"['Lingner', 'Oricchio']",Go to exercise sessions and prepare the papers before the session. Do not study all last minute because there is a lot of content.
BIO-477,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/infection-biology-BIO-477,Infection biology,5 (3),4.7,2.3,3 (5),['Blokesch'],"The exercices are SUPER useful. Learn them by heart because some questions in the exam are actually the same questions as in the exercices. Otherwise, just learn the content of the slides. There are excellent summaries for this class on the drive btw"
BIO-477,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/infection-biology-BIO-477,Infection biology,5 (3),4.7,2.3,3 (5),['Blokesch'],"There is a really good summary of the course available on the drive, with which I mainly studied. In addition, it is important to really know the exercises as many of the exam questions are identical (or very similar). You can take a one-sided A4 page written cheat sheet to the exam. Be sure to look at the papers (each week there is a paper discussed in journal club), as there is approximately one question for each paper at the exam."
BIO-477,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/infection-biology-BIO-477,Infection biology,5 (3),4.7,2.3,3 (5),['Blokesch'],"go to the exercice sessions where each week a paper is discussed, it is interesting and important for the exam."
BIO-477,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/infection-biology-BIO-477,Infection biology,5 (3),4.7,2.3,3 (5),['Blokesch'],"go to the exercice sessions where each week a paper is discussed, it is interesting and important for the exam."
BIO-478,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/pharmacology-and-pharmacokinetics-BIO-478,Pharmacology and pharmacokinetics,4 (1),4,3,5 (2),"['Firsov', 'Kellenberger']","Take enough time to study everything by heart, and don't get too focused on the calculation exercises (there were more conceptual questions and only some calculation questions at the exam in our year)."
BIO-478,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/pharmacology-and-pharmacokinetics-BIO-478,Pharmacology and pharmacokinetics,4 (1),4,3,5 (2),"['Firsov', 'Kellenberger']","Take enough time to study everything by heart, and don't get too focused on the calculation exercises (there were more conceptual questions and only some calculation questions at the exam in our year)."
BIO-480,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-from-molecular-mechanisms-to-disease-BIO-480,Neuroscience: from molecular mechanisms to disease,3.8 (5),3.4,3.2,3.8 (5),"['Gräff', 'Lashuel', 'Schneider']",The grindset is real on this one. Just learn things. All the things. There isn't even exercices so that you can assimilate better. Use your molecular mechanisms to retain the content of the class.
BIO-480,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-from-molecular-mechanisms-to-disease-BIO-480,Neuroscience: from molecular mechanisms to disease,3.8 (5),3.4,3.2,3.8 (5),"['Gräff', 'Lashuel', 'Schneider']","there is a loot of material which can seem quite overwhelming, however for the exam there is no need to remember all the details from the course. Some parts of the course are quite messy, it is important to filter out which information is actually important to remember - watching youtube videos about the subject can help with that. Look at the exam on the drive, the questions are very similar (or even the same)."
BIO-480,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-from-molecular-mechanisms-to-disease-BIO-480,Neuroscience: from molecular mechanisms to disease,3.8 (5),3.4,3.2,3.8 (5),"['Gräff', 'Lashuel', 'Schneider']","ATTEND THE LECTURES and the exercises, start studying early in the semester"
BIO-480,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-from-molecular-mechanisms-to-disease-BIO-480,Neuroscience: from molecular mechanisms to disease,3.8 (5),3.4,3.2,3.8 (5),"['Gräff', 'Lashuel', 'Schneider']",You have to learn everything by heart. Exam consists of open questions covering the essential of the lectures.
BIO-480,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-from-molecular-mechanisms-to-disease-BIO-480,Neuroscience: from molecular mechanisms to disease,3.8 (5),3.4,3.2,3.8 (5),"['Gräff', 'Lashuel', 'Schneider']","Background in neuroscience is strongly advised, at least in biology. The exam was not too hard, written questions about important parts of the course."
BIO-480,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-from-molecular-mechanisms-to-disease-BIO-480,Neuroscience: from molecular mechanisms to disease,3.8 (5),3.4,3.2,3.8 (5),"['Gräff', 'Lashuel', 'Schneider']","Background in neuroscience is strongly advised, at least in biology. The exam was not too hard, written questions about important parts of the course."
